State,City,Street,Zipcode,Latitude,Longitude,Bedroom,Bathroom,Area,LotArea,Price,Region
AL,Athens,Upland Trl,35613,34.822567,-86.83447,3.0,2.0,1489.0,1742.9733999999999,272900.0,South
AL,Foley,Live Oak Ave,36555,30.405363,-87.77882,3.0,2.0,1088.0,0.32999999999992724,250000.0,South
AL,Loxley,Landmark Ave,36551,30.63612,-87.78366,3.0,2.0,1428.0,7535.88,235900.0,South
AL,Alabaster,Forest Hills Cir,35007,33.203835,-86.80198,5.0,3.0,2660.0,0.6100000000001273,439000.0,South
AL,Gadsden,Anita Ln,35901,33.93738,-85.96582,4.0,2.0,2163.0,1.0900000000001455,409900.0,South
AL,Gulf Shores,Briarwood Dr,36542,30.260681,-87.70223,4.0,4.0,2839.0,0.7380000000002838,650000.0,South
AL,Daphne,Fionn Loop,36526,30.579481,-87.84395,4.0,2.0,1731.0,7013.16,299999.0,South
AL,Mobile,Dawes Service Rd,36695,30.675133,-88.23147,4.0,3.0,1792.0,0.7467000000001462,160000.0,South
AL,Mobile,Middle Ring Rd,36608,30.712626,-88.19037,3.0,2.0,1222.0,9970.884,110000.0,South
AL,Enterprise,Plaza Dr,36330,31.295835,-85.833595,3.0,2.0,1336.0,0.4600000000000364,167500.0,South
AL,Cullman,6th St SE,35055,34.17533,-86.83396,3.0,2.0,1341.0,9583.2,265000.0,South
AL,Fairhope,River Park Rd,36532,30.470724,-87.81819,3.0,2.0,1755.0,1.0,299500.0,South
AL,Foley,Headlands Ln,36535,30.434465,-87.752716,4.0,2.0,2047.0,10454.4,299900.0,South
AL,Mobile,S Faure Dr,36605,30.631083,-88.10963,4.0,1.0,1817.0,10715.760000000002,134900.0,South
AL,Montgomery,Amherst Rd,36116,32.323402,-86.29356,3.0,1.0,1813.0,9230.364,127999.0,South
AL,Auburn,Lois Ln,36832,32.575935,-85.49536,3.0,2.0,1693.0,0.25,397500.0,South
AL,Mobile,Spring Meadow Dr E,36695,30.61962,-88.267395,3.0,2.0,1535.0,3399.4260000000004,279950.0,South
AL,Theodore,Lundy Rd,36582,30.56557,-88.228935,3.0,2.0,1500.0,0.7507999999997992,142000.0,South
AL,Mobile,Ralston Rd,36606,30.680765,-88.10756,3.0,2.0,1660.0,1.0,130000.0,South
AL,Mobile,Anders Dr,36608,30.711075,-88.19744,4.0,2.0,1267.0,8563.896,169000.0,South
AL,Tuscaloosa,Pin Oak Dr,35405,33.178677,-87.47292,4.0,3.0,2600.0,0.4699999999997999,319900.0,South
AL,Mobile,Forest Glen Dr W,36618,30.714804,-88.147964,3.0,2.0,1515.0,10301.94,227900.0,South
AL,Daphne,Lakeview Loop,36526,30.65488,-87.892334,3.0,2.0,1704.0,10454.4,225000.0,South
AL,Birmingham,Lance Way,35206,33.57317,-86.68901,4.0,3.0,5470.0,0.36000000000012733,200000.0,South
AL,Florala,Glen Chambers Rd,36442,31.079906,-86.42805,3.0,2.0,1433.0,5.449999999999818,194900.0,South
AL,Marion,Washington St,36756,32.628574,-87.319466,5.0,3.0,3656.0,5140.860000000001,210000.0,South
AL,Dothan,Candle Brook Dr,36303,31.26417,-85.422714,2.0,2.0,1476.0,8712.0,166900.0,South
AL,Daphne,Rhone Dr,36526,30.626759,-87.87644,4.0,3.0,2807.0,0.3449999999997999,640000.0,South
AL,Ozark,Ketcham Rd,36360,31.442524,-85.60594,8.0,4.0,3150.0,1.900000000000091,199000.0,South
AL,Birmingham,Harris Rd,35217,33.588623,-86.73935,4.0,3.0,4110.0,1.0900000000001455,139900.0,South
AL,Auburn,E Magnolia Ave,36830,32.606426,-85.45639,3.0,2.0,1560.0,0.4800000000000182,312000.0,South
AL,Mount Vernon,Long St,36560,31.094666,-88.004585,3.0,2.0,1750.0,4.0,170000.0,South
AL,Prattville,Buena Vista Blvd,36067,32.428448,-86.45171,3.0,2.0,1522.0,5662.8,226500.0,South
AL,Montgomery,Sunset Dr,36109,32.371876,-86.24128,3.0,2.0,1862.0,0.8699999999998909,169900.0,South
AL,Headland,State Highway 134 W,36345,31.333715,-85.39057,3.0,3.0,2128.0,1.1199999999998909,195000.0,South
AL,Trussville,Olivia Dr,35173,33.665035,-86.5084,3.0,2.0,1372.0,0.34999999999990905,230000.0,South
AL,Newton,S College St,36352,31.332989,-85.599846,3.0,2.0,1568.0,0.4899999999997817,139391.0,South
AL,Dora,Warrior Jasper Rd,35062,33.748173,-86.981186,3.0,2.0,1642.0,2.699999999999818,274500.0,South
AL,Athens,Us Highway 31,35611,34.75263,-86.95664,2.0,2.0,1200.0,0.4499999999998181,225000.0,South
AL,Birmingham,Renfro Rd,35216,33.41161,-86.79205,4.0,3.0,2504.0,0.6700000000000728,375000.0,South
AL,Daphne,Ivy Cir,36526,30.637468,-87.89588,5.0,2.0,1925.0,4791.6,295000.0,South
AL,Attalla,Dewey Ave,35954,34.00362,-86.12681,3.0,1.0,1000.0,2091.52,125000.0,South
AL,Prichard,Dade St,36610,30.740385,-88.093895,3.0,1.0,1245.0,6560.136,50000.0,South
AL,Mobile,Hounds Run S,36608,30.68334,-88.198875,4.0,3.0,2238.0,0.2968999999998232,200000.0,South
AL,Logan,County Road 818,35098,34.12248,-87.05896,3.0,2.0,1272.0,1.199999999999818,250000.0,South
AL,Grand Bay,Knoke Ave,36541,30.476803,-88.33238,3.0,2.0,1293.0,0.4659999999998945,195000.0,South
AL,Tuscaloosa,Old Greensboro Rd,35405,33.056057,-87.570274,3.0,3.0,1205.0,1.5,189000.0,South
AL,Orange Beach,Pepper Ln,36561,30.265562,-87.61141,3.0,4.0,1507.0,1698.84,869900.0,South
AL,Theodore,Lancaster Rd,36582,30.50111,-88.165405,4.0,2.0,2156.0,2.2310999999999694,449999.0,South
AL,Huntsville,Derwent Ln,35810,34.822517,-86.58565,3.0,2.0,1634.0,1.699999999999818,250000.0,South
AL,Salem,Lee Road 638,36874,32.667465,-85.18102,4.0,3.0,1976.0,0.7300000000000182,158000.0,South
AL,Fort Payne,Meadowbrook Ln NW,35967,34.515076,-85.67819,3.0,2.0,1382.0,1.0,189900.0,South
AL,Gulf Shores,W 6th Ave,36542,30.251629,-87.69282,3.0,2.0,1279.0,6098.4,599000.0,South
AL,Montgomery,Felder Ave,36104,32.356705,-86.30008,5.0,4.0,4567.0,0.8299999999999272,299000.0,South
AL,Wilmer,Trace Ln,36587,30.877403,-88.30783,3.0,2.0,2000.0,0.46549999999979264,99900.0,South
AL,Huntsville,Acorn Grove Ln SW,35824,34.660786,-86.73575,3.0,3.0,2519.0,6098.4,375000.0,South
AL,Birmingham,4th Ave S,35206,33.56158,-86.72133,4.0,1.0,1325.0,0.2699999999999818,150000.0,South
AL,Birmingham,Westridge Cir,35235,33.633404,-86.66044,4.0,2.0,2354.0,0.34999999999990905,229900.0,South
AL,Daphne,Sanibel Loop,36526,30.599081,-87.86608,3.0,2.0,1885.0,10105.92,349900.0,South
AL,Mobile,Fathbrook Ln,36693,30.620256,-88.145485,3.0,2.0,1224.0,6712.596,180000.0,South
AL,Foley,Surrey Loop,36535,30.419397,-87.69455,3.0,2.0,1743.0,6272.64,349000.0,South
AL,Gadsden,N Thirtieth St,35904,34.023613,-86.0518,4.0,2.0,1295.0,7500.0,130000.0,South
AL,Enterprise,Kate St,36330,31.30808,-85.871994,3.0,1.0,1242.0,0.3400000000001455,135000.0,South
AL,Wetumpka,Jug Factory Rd,36093,32.53193,-86.11993,4.0,3.0,3202.0,3.5700000000001637,380000.0,South
AL,Gulf Shores,W Lagoon Ave #17-B,36542,30.245024,-87.71913,2.0,3.0,1710.0,164.03800000000047,539000.0,South
AL,Prattville,Peachtree St,36066,32.45789,-86.44706,4.0,2.0,1703.0,0.32999999999992724,184900.0,South
AL,Orange Beach,Perdido Beach Blvd APT 2144,36561,30.262003,-87.61198,1.0,1.0,685.0,4.356000000000222,539000.0,South
AL,Warrior,Gilbert Ln,35180,33.800705,-86.89107,2.0,2.0,2256.0,1.800000000000182,95000.0,South
AL,Montgomery,E Delano Ave,36105,32.337,-86.29974,3.0,2.0,1428.0,0.2600000000002183,129900.0,South
AL,Auburn,Deerfield Ct,36832,32.595737,-85.55934,3.0,2.0,1471.0,0.36999999999989086,295000.0,South
AL,Troy,County Road 2225,36079,31.705172,-85.99862,3.0,2.0,1920.0,3.0,285000.0,South
AL,Pelham,Trail Ridge Dr,35124,33.338062,-86.79956,3.0,3.0,2517.0,0.8800000000001091,275000.0,South
AL,Birmingham,93rd St N,35206,33.588055,-86.717026,3.0,1.0,1136.0,0.7600000000002183,159900.0,South
AL,Athens,Lydia Corey Rd,35614,34.83629,-87.036156,3.0,1.0,1218.0,0.5,180000.0,South
AL,Dothan,Griffin Dr,36303,31.256407,-85.43638,2.0,2.0,1773.0,0.650000000000091,189990.0,South
AL,Fosters,Lock 9 Rd,35463,33.067043,-87.694695,3.0,2.0,1292.0,0.5500000000001819,229900.0,South
AL,Gulf Shores,Walther Dr,36542,30.295889,-87.66739,3.0,2.0,1728.0,8276.4,329900.0,South
AL,Duncanville,Butterfly Dr,35456,33.10935,-87.46574,3.0,2.0,1224.0,3086.6392,199000.0,South
AL,Montgomery,George B Edmondson Dr,36110,32.40325,-86.28537,3.0,1.0,1050.0,6969.6,69000.0,South
AL,Tuscaloosa,Laurel Lake Dr,35405,33.141556,-87.568474,4.0,2.0,1791.0,0.2899999999999636,258000.0,South
AL,Phenix City,Irish Ln,36869,32.44735,-84.99815,4.0,3.0,2453.0,7405.200000000001,265000.0,South
AL,Irvington,Oak St,36544,30.467716,-88.23551,3.0,2.0,1505.0,0.8022999999998319,199220.0,South
AL,Prattville,Golson Rd,36067,32.446907,-86.55534,4.0,5.0,2924.0,10.0,409000.0,South
AL,Muscle Shoals,Gargis Hollow Rd,35661,34.797276,-87.50192,3.0,1.0,1100.0,0.650000000000091,179900.0,South
AL,Tallassee,Powers Ave,36078,32.53751,-85.8778,3.0,2.0,1640.0,0.36000000000012733,205000.0,South
AL,Montgomery,Valley Brook Ln,36117,32.408894,-86.201035,4.0,2.0,1488.0,0.2800000000002001,183000.0,South
AL,Birmingham,Crest Brook Rd,35223,33.497654,-86.71149,4.0,3.0,2592.0,0.44000000000005457,599500.0,South
AL,Jackson,Belview Cir,36545,31.542847,-87.88674,3.0,2.0,1060.0,0.7899999999999636,119900.0,South
AL,Orange Beach,Ono Blvd,36561,30.282024,-87.53777,3.0,2.0,1524.0,0.2660000000000764,599000.0,South
AL,Eclectic,Beach Dr,36024,32.7011,-85.96478,2.0,2.0,1197.6,3.7460000000005493,325000.0,South
AL,Helena,Dublin Dr,35080,33.269222,-86.84463,3.0,2.0,1262.0,7405.200000000001,225000.0,South
AL,Foley,Meadow Ln,36535,30.396852,-87.67533,3.0,2.0,1528.0,0.29500000000007276,279000.0,South
AL,Mobile,W Hillwood Dr,36605,30.62461,-88.09249,4.0,2.0,2600.0,0.4337000000000444,250000.0,South
AL,Cullman,County Road 710,35055,34.148727,-86.77304,4.0,2.0,1600.0,4.800000000000182,150000.0,South
AL,Spanish Fort,Caisson Trce,36527,30.682983,-87.90636,4.0,3.0,2802.0,0.42000000000007276,430000.0,South
AL,Webb,Ben Ivey Rd,36376,31.22486,-85.25838,4.0,2.0,1313.0,1313.0,64900.0,South
AL,Valley Grande,Berry Rd,36701,33.0,-87.0,3.0,3.0,1556.0,0.650000000000091,149900.0,South
AL,Huntsville,Lynn Rd NW,35810,34.78267,-86.58862,4.0,2.0,1511.0,0.38999999999987267,180000.0,South
AL,Guntersville,Wray Rd,35976,34.300037,-86.39073,3.0,3.0,2149.0,0.5,139900.0,South
AL,Valley,Lee Road 895,36854,32.68981,-85.17476,4.0,3.0,2100.0,0.36999999999989086,395000.0,South
AL,Auburn,S Cedarbrook Dr,36830,32.63288,-85.48234,4.0,3.0,2106.0,0.36000000000012733,369900.0,South
AL,Mobile,Oak Lane Cir W,36618,30.71445,-88.135284,3.0,1.0,1217.0,8202.348,149000.0,South
AL,Birmingham,27th St,35218,33.501514,-86.89199,3.0,2.0,1418.0,7405.200000000001,140000.0,South
AL,Semmes,Wulff Rd S,36575,30.761631,-88.292496,4.0,2.0,2520.0,0.9140999999999622,299319.0,South
AL,Arab,Ruth Rd,35016,34.356606,-86.522484,3.0,2.0,1712.0,1.0,195000.0,South
AL,Guntersville,Buttercup Dr #425-427,35976,34.42224,-86.25966,2.0,1.0,925.0,9147.6,154990.0,South
AL,Fort Mitchell,Ihagee Creek Cir,36856,32.232662,-84.973465,4.0,2.0,2002.0,0.44000000000005457,270000.0,South
AL,Gulf Shores,N Gemini St,36542,30.302923,-87.69361,4.0,2.0,1856.0,6242.148000000001,382900.0,South
AL,Clanton,County Road 32,35046,32.878918,-86.56741,3.0,2.0,1152.0,2.150000000000091,169900.0,South
AL,Daleville,Gritney Rd,36322,31.264801,-85.72387,3.0,2.0,1902.0,0.32999999999992724,180000.0,South
AL,Anniston,Eulaton Rd,36201,33.654697,-85.90091,3.0,2.0,1696.0,0.5,49950.0,South
AL,Kellyton,Coosa County Rd,35089,32.981297,-86.03913,3.0,2.0,1760.0,3.0,139000.0,South
AL,Prattville,Gray Dr,36067,32.444508,-86.47387,3.0,2.0,2000.0,10454.4,224900.0,South
AL,Huntsville,Pops Cor,35811,34.777668,-86.48719,4.0,2.0,2289.0,0.5100000000002183,350000.0,South
AL,Rogersville,County Road 165,35652,34.81635,-87.262695,3.0,3.0,1400.0,0.5,184900.0,South
AL,Kellyton,Coosa County Road 50,35089,32.981277,-86.039116,3.0,2.0,1760.0,3.0,139900.0,South
AL,Spanish Fort,Caisson Trce,36527,30.678589,-87.90917,5.0,4.0,2600.0,0.6649999999999636,375000.0,South
AL,Vernon,Pennington Ln,35592,33.787724,-88.165764,3.0,1.0,1187.0,4.0,80000.0,South
AL,Gallion,Maple St,36742,32.512672,-87.71695,3.0,2.0,2925.0,6.0,395000.0,South
AL,Wilmer,Fillingim Rd,36587,30.790745,-88.30819,4.0,3.0,2541.0,2.300000000000182,300000.0,South
AL,Thorsby,Jones St,35171,32.91567,-86.69866,5.0,3.0,2370.0,10.0,276900.0,South
AL,Cullman,Barton Dr NE,35055,34.191113,-86.81209,3.0,2.0,2349.0,0.5300000000002001,255000.0,South
AL,Mobile,Scarlett Oak Dr,36608,30.62828,-88.35601,3.0,2.0,1232.0,0.37750000000005457,192500.0,South
AL,Abbeville,S Lakeview Dr,36310,31.65619,-85.10319,4.0,2.0,1344.0,0.9299999999998363,154900.0,South
